ID,Name,Occupation,Salary
987-31-3511,Lacy Hedrick,Musician,"$106,322"
429-93-3198,Huey Ison,Anthropologist,"$45,485"
145-65-2778,Rayna Earl,Dancer,"$67,899"
171-32-4914,Eldridge Lombardo,Health visitor,"$79,194"
749-36-2869,Carlotta Ratcliff,Au pair,"$108,743"
991-17-6694,Marry Leslie,Factory worker,"$96,790"
336-32-7775,Granville Kraft,Model,"$92,696"
467-48-1588,Gaylene Barela,Economist,"$74,054"
142-44-6437,Doria Seal,Art dealer,"$61,591"
356-59-3427,Wendie Sisco,Groom,"$63,112"
859-45-3558,Valorie Abell,Dietician,"$113,092"
411-11-5976,Melany Fortune,Merchant navy personnel,"$115,150"
736-97-3636,Cayla Loftin,Conservationist,"$98,856"
482-89-3348,Mirna Cagle,Researcher,"$84,002"
997-37-8911,Florentino Cartwright,Housekeeper,"$81,503"
477-25-2556,Suzy Richey,Events organiser,"$46,669"
359-19-7657,Shakira Blevins,Publican,"$75,234"
